Entity,Code,Day,cum_excess_proj_all_ages
Albania,ALB,2020-01-31,-247.2
Albania,ALB,2020-02-29,-190.8
Albania,ALB,2020-03-31,-165
Albania,ALB,2020-04-30,-95
Albania,ALB,2020-05-31,23
Albania,ALB,2020-06-30,188
Albania,ALB,2020-07-31,602.8
Albania,ALB,2020-08-31,1384.2
Albania,ALB,2020-09-30,1848
Albania,ALB,2020-10-31,2600
Albania,ALB,2020-11-30,4703.4
Albania,ALB,2020-12-31,5812.4
Albania,ALB,2021-01-31,6384.8
Albania,ALB,2021-02-28,8200.8
Albania,ALB,2021-03-31,9685.2
Albania,ALB,2021-04-30,10374.8
Albania,ALB,2021-05-31,10568.4
Albania,ALB,2021-06-30,10781
Albania,ALB,2021-07-31,10854.4
Albania,ALB,2021-08-31,11244.4
Albania,ALB,2021-09-30,12236.8
Albania,ALB,2021-10-31,13149.4
Albania,ALB,2021-11-30,13909.4
Albania,ALB,2021-12-31,14655
Algeria,DZA,2020-01-31,-438.9
Algeria,DZA,2020-02-29,-536.3
Algeria,DZA,2020-03-31,-488.7
Algeria,DZA,2020-04-30,-329.1
Algeria,DZA,2020-05-31,-345.5
Algeria,DZA,2020-06-30,3268.1
Algeria,DZA,2020-07-31,20171.7
Algeria,DZA,2020-08-31,28323.8
Algeria,DZA,2020-09-30,31062.9
Algeria,DZA,2020-10-31,34432
Algeria,DZA,2020-11-30,45018.6
Algeria,DZA,2020-12-31,49888.7
Andorra,AND,2020-01-31,-0.6
Andorra,AND,2020-02-29,8.4
Andorra,AND,2020-03-31,16
Andorra,AND,2020-04-30,51.6
Andorra,AND,2020-05-31,66
Andorra,AND,2020-06-30,66.2
Andorra,AND,2020-07-31,67.8
Andorra,AND,2020-08-31,61.6
Andorra,AND,2020-09-30,63.4
Andorra,AND,2020-10-31,87
Andorra,AND,2020-11-30,79.8
Andorra,AND,2020-12-31,89.6
Antigua and Barbuda,ATG,2020-01-31,3.1
Antigua and Barbuda,ATG,2020-02-29,-5.4
Antigua and Barbuda,ATG,2020-03-31,-5.3
Antigua and Barbuda,ATG,2020-04-30,-5.6
Antigua and Barbuda,ATG,2020-05-31,-4.7
Antigua and Barbuda,ATG,2020-06-30,-13.8
Antigua and Barbuda,ATG,2020-07-31,-14.9
Antigua and Barbuda,ATG,2020-08-31,-30
Antigua and Barbuda,ATG,2020-09-30,-37.5
Antigua and Barbuda,ATG,2020-10-31,-44
Antigua and Barbuda,ATG,2020-11-30,-47.7
Antigua and Barbuda,ATG,2020-12-31,-57.8
Argentina,ARG,2020-01-31,-773.3
Argentina,ARG,2020-02-29,-297.4
Argentina,ARG,2020-03-31,-571.1
Argentina,ARG,2020-04-30,-1475
Argentina,ARG,2020-05-31,-3225.1
Argentina,ARG,2020-06-30,-7413.6
Argentina,ARG,2020-07-31,-5740.5
Argentina,ARG,2020-08-31,-469.4
Argentina,ARG,2020-09-30,10341.1
Argentina,ARG,2020-10-31,24892.4
Argentina,ARG,2020-11-30,35026.5
Argentina,ARG,2020-12-31,41948.2
Armenia,ARM,2020-01-31,-18.9
Armenia,ARM,2020-02-29,176.6
Armenia,ARM,2020-03-31,156.7
Armenia,ARM,2020-04-30,234
Armenia,ARM,2020-05-31,224.3
Armenia,ARM,2020-06-30,1156.8
Armenia,ARM,2020-07-31,1865.9
Armenia,ARM,2020-08-31,2030.4
Armenia,ARM,2020-09-30,2402.5
Armenia,ARM,2020-10-31,4061
Armenia,ARM,2020-11-30,7945.9
