"TIME","GEO","Value"
2011,"EU",503519196
2011,"Belgium",11038264
2011,"Bulgaria",7348328
2011,"Czechia",10496088
2011,"Denmark",5570572
2011,"Germany",80274983
2011,"Estonia",1327439
2011,"Ireland",4580084
2011,"Greece",11104899
2011,"Spain",46742697
2011,"France",65127852
2011,"Croatia",4282921
2011,"Italy",59379449
2011,"Cyprus",850881
2011,"Latvia",2059709
2011,"Lithuania",3028115
2011,"Luxembourg",518347
2011,"Hungary",9971727
2011,"Malta",416268
2011,"Netherlands",16693074
2011,"Austria",8391643
2011,"Poland",38063255
2011,"Portugal",10557560
2011,"Romania",20147528
2011,"Slovenia",2052843
2011,"Slovakia",5398384
2011,"Finland",5388272
2011,"Sweden",9449213
2011,"Iceland",319014
2011,"Liechtenstein",36312
2011,"Norway",4953088
2011,"Switzerland",7912398
2011,"United Kingdom",63258810
2011,"Montenegro",620079
2011,"North Macedonia",2058539
2011,"Albania",2905185
2011,"Serbia",7234099
2011,"Turkey",74223629
2011,"Andorra",78115
2011,"Belarus",9473172
2011,"Bosnia and Herzegovina",3841224
2011,"Kosovo",1787101
2011,"Moldova",3559986
2011,"Monaco",NA
2011,"Russia",142956460
2011,"San Marino",32620
2011,"Ukraine",45525731
2011,"Armenia",3268468
2011,"Azerbaijan",9173082
2011,"Georgia",4483434
2012,"EU",504605401
2012,"Belgium",11106932
2012,"Bulgaria",7305888
2012,"Czechia",10510785
2012,"Denmark",5591572
2012,"Germany",80425823
2012,"Estonia",1322696
2012,"Ireland",4599533
2012,"Greece",11045011
2012,"Spain",46773055
2012,"France",65438667
2012,"Croatia",4269062
2012,"Italy",59539717
2012,"Cyprus",863945
2012,"Latvia",2034319
2012,"Lithuania",2987773
2012,"Luxembourg",530946
2012,"Hungary",9920362
2012,"Malta",420028
2012,"Netherlands",16754962
2012,"Austria",8429991
2012,"Poland",38063164
2012,"Portugal",10514844
2012,"Romania",20058035
2012,"Slovenia",2057159
2012,"Slovakia",5407579
2012,"Finland",5413971
2012,"Sweden",9519374
2012,"Iceland",320716
2012,"Liechtenstein",36657
2012,"Norway",5018573
2012,"Switzerland",7996861
2012,"United Kingdom",63700215
2012,"Montenegro",620601
2012,"North Macedonia",2061044
2012,"Albania",2900389
2012,"Serbia",7199077
2012,"Turkey",75175827
2012,"Andorra",77181
2012,"Belarus",9464495
2012,"Bosnia and Herzegovina",3837455
2012,"Kosovo",1797814
2012,"Moldova",3559519
2012,"Monaco",NA
2012,"Russia",NA
2012,"San Marino",33469
2012,"Ukraine",45412987
2012,"Armenia",NA
2012,"Azerbaijan",9295784
2012,"Georgia",NA
2013,"EU",506087216
2013,"Belgium",11159407
2013,"Bulgaria",7265115
2013,"Czechia",10514272
2013,"Denmark",5614932
2013,"Germany",80645605
2013,"Estonia",1317997
2013,"Ireland",4623816
2013,"Greece",10965211
2013,"Spain",46620045
2013,"France",65771309
2013,"Croatia",4254475
2013,"Italy",60233948
2013,"Cyprus",861939
2013,"Latvia",2012647
2013,"Lithuania",2957689
2013,"Luxembourg",543360
2013,"Hungary",9893082
2013,"Malta",425967
2013,"Netherlands",16804432
2013,"Austria",8479823
2013,"Poland",38040196
2013,"Portugal",10457295
2013,"Romania",19983693
2013,"Slovenia",2059953
2013,"Slovakia",5413393
2013,"Finland",5438972
2013,"Sweden",9600379
2013,"Iceland",323764
2013,"Liechtenstein",36984
2013,"Norway",5079623
2013,"Switzerland",8089346
2013,"United Kingdom",64128273
2013,"Montenegro",621207
2013,"North Macedonia",2064032
2013,"Albania",2895082
2013,"Serbia",7164132
2013,"Turkey",76147624
2013,"Andorra",NA
2013,"Belarus",9465997
2013,"Bosnia and Herzegovina",3833278
2013,"Kosovo",1818119
2013,"Moldova",3558566
2013,"Monaco",NA
2013,"Russia",NA
2013,"San Marino",33041
2013,"Ukraine",45309293
2013,"Armenia",NA
2013,"Azerbaijan",9416801
2013,"Georgia",NA
2014,"EU",507876849
2014,"Belgium",11209057
2014,"Bulgaria",7223938
2014,"Czechia",10525347
2014,"Denmark",5643475
2014,"Germany",80982500
2014,"Estonia",1314545
2014,"Ireland",4657740
2014,"Greece",10892413
2014,"Spain",46480882
2014,"France",66312067
2014,"Croatia",4236063
2014,"Italy",60789140
2014,"Cyprus",852504
2014,"Latvia",1993782
2014,"Lithuania",2932367
2014,"Luxembourg",556319
2014,"Hungary",9866468
2014,"Malta",434558
2014,"Netherlands",16865008
2014,"Austria",8546356
2014,"Poland",38011735
2014,"Portugal",10401062
2014,"Romania",19908979
2014,"Slovenia",2061980
2014,"Slovakia",5418649
2014,"Finland",5461512
2014,"Sweden",9696110
2014,"Iceland",327386
2014,"Liechtenstein",37248
2014,"Norway",5137232
2014,"Switzerland",8188649
2014,"United Kingdom",64602298
2014,"Montenegro",621810
2014,"North Macedonia",2067471
2014,"Albania",2889095
2014,"Serbia",7130576
2014,"Turkey",77181884
2014,"Andorra",NA
2014,"Belarus",9474511
2014,"Bosnia and Herzegovina",3828123
2014,"Kosovo",1812788
2014,"Moldova",3556397
2014,"Monaco",NA
2014,"Russia",NA
2014,"San Marino",32655
2014,"Ukraine",NA
2014,"Armenia",NA
2014,"Azerbaijan",9535079
2014,"Georgia",4109999
2015,"EU",509351040
2015,"Belgium",11274196
2015,"Bulgaria",7177991
2015,"Czechia",10546059
2015,"Denmark",5683483
2015,"Germany",81686611
2015,"Estonia",1315407
2015,"Ireland",4701957
2015,"Greece",10820883
2015,"Spain",46444832
2015,"France",66548272
2015,"Croatia",4207993
2015,"Italy",60730582
2015,"Cyprus",847664
2015,"Latvia",1977527
2015,"Lithuania",2904910
2015,"Luxembourg",569604
2015,"Hungary",9843028
2015,"Malta",445053
2015,"Netherlands",16939923
2015,"Austria",8642699
2015,"Poland",37986412
2015,"Portugal",10358076
2015,"Romania",19815616
2015,"Slovenia",2063531
2015,"Slovakia",5423801
2015,"Finland",5479531
2015,"Sweden",9799186
2015,"Iceland",330815
2015,"Liechtenstein",37494
2015,"Norway",5188607
2015,"Switzerland",8282396
2015,"United Kingdom",65116219
2015,"Montenegro",622159
2015,"North Macedonia",2070225
2015,"Albania",2880694
2015,"Serbia",7095383
2015,"Turkey",78218479
2015,"Andorra",NA
2015,"Belarus",9489616
2015,"Bosnia and Herzegovina",3670658
2015,"Kosovo",1788274
2015,"Moldova",3554108
2015,"Monaco",37950
2015,"Russia",NA
2015,"San Marino",32897
2015,"Ukraine",42675270
2015,"Armenia",3004588
2015,"Azerbaijan",9649341
2015,"Georgia",3724950
2016,"EU",510778779
2016,"Belgium",11331422
2016,"Bulgaria",7127822
2016,"Czechia",10566332
2016,"Denmark",5728010
2016,"Germany",82348669
2016,"Estonia",1315790
2016,"Ireland",4755335
2016,"Greece",10775971
2016,"Spain",46484062
2016,"France",66724104
2016,"Croatia",4172441
2016,"Italy",60627498
2016,"Cyprus",851561
2016,"Latvia",1959537
2016,"Lithuania",2868231
2016,"Luxembourg",582014
2016,"Hungary",9814023
2016,"Malta",455356
2016,"Netherlands",17030314
2016,"Austria",8736668
2016,"Poland",37970087
2016,"Portugal",10325452
2016,"Romania",19702267
2016,"Slovenia",2065042
2016,"Slovakia",5430798
2016,"Finland",5495303
2016,"Sweden",9923085
2016,"Iceland",335439
2016,"Liechtenstein",37716
2016,"Norway",5234519
2016,"Switzerland",8373338
2016,"United Kingdom",65611593
2016,"Montenegro",622303
2016,"North Macedonia",2072490
2016,"Albania",2876092
2016,"Serbia",7058322
2016,"Turkey",79277962
2016,"Andorra",72419
2016,"Belarus",9501534
2016,"Bosnia and Herzegovina",3512855
2016,"Kosovo",1777568
2016,"Moldova",3551954
2016,"Monaco",37875
2016,"Russia",NA
2016,"San Marino",33101
2016,"Ukraine",42502892
2016,"Armenia",2992364
2016,"Azerbaijan",9757812
2016,"Georgia",3723387
2017,"EU",511930353
2017,"Belgium",11375158
2017,"Bulgaria",7075947
2017,"Czechia",10594438
2017,"Denmark",5764980
2017,"Germany",82657002
2017,"Estonia",1317384
2017,"Ireland",4807388
2017,"Greece",10754679
2017,"Spain",46593236
2017,"France",66918020
2017,"Croatia",4129853
2017,"Italy",60536709
2017,"Cyprus",859519
2017,"Latvia",1942248
2017,"Lithuania",2828403
2017,"Luxembourg",596336
2017,"Hungary",9787966
2017,"Malta",467999
2017,"Netherlands",17131296
2017,"Austria",8797566
2017,"Poland",37974826
2017,"Portugal",10300300
2017,"Romania",19588715
2017,"Slovenia",2066388
2017,"Slovakia",5439232
2017,"Finland",5508214
2017,"Sweden",10057698
2017,"Iceland",343400
2017,"Liechtenstein",37962
2017,"Norway",5276968
2017,"Switzerland",8451840
2017,"United Kingdom",66058859
2017,"Montenegro",622373
2017,"North Macedonia",2074502
2017,"Albania",2873458
2017,"Serbia",7020858
2017,"Turkey",80312698
2017,"Andorra",NA
2017,"Belarus",9498264
2017,"Bosnia and Herzegovina",3505012
2017,"Kosovo",1791019
2017,"Moldova",3549196
2017,"Monaco",NA
2017,"Russia",NA
2017,"San Marino",33825
2017,"Ukraine",42315836
2017,"Armenia",2979442
2017,"Azerbaijan",9854033
2017,"Georgia",3728004
2018,"EU",513059281
2018,"Belgium",11427054
2018,"Bulgaria",7025037
2018,"Czechia",10629928
2018,"Denmark",5793636
2018,"Germany",82905782
2018,"Estonia",1321977
2018,"Ireland",4867316
2018,"Greece",10732882
2018,"Spain",46797754
2018,"France",67101930
2018,"Croatia",4090870
2018,"Italy",60421760
2018,"Cyprus",870068
2018,"Latvia",1927174
2018,"Lithuania",2801543
2018,"Luxembourg",607950
2018,"Hungary",9775564
2018,"Malta",484630
2018,"Netherlands",17231624
2018,"Austria",8840521
2018,"Poland",37974750
2018,"Portugal",10283822
2018,"Romania",19473970
2018,"Slovenia",2073894
2018,"Slovakia",5446771
2018,"Finland",5515525
2018,"Sweden",10175214
2018,"Iceland",352721
2018,"Liechtenstein",38246
2018,"Norway",5311916
2018,"Switzerland",8514329
2018,"United Kingdom",66460344
2018,"Montenegro",622271
2018,"North Macedonia",2076217
2018,"Albania",2866376
2018,"Serbia",6982604
2018,"Turkey",81407204
2018,"Andorra",75486
2018,"Belarus",9483499
2018,"Bosnia and Herzegovina",3496157
2018,"Kosovo",1797086
2018,"Moldova",NA
2018,"Monaco",38300
2018,"Russia",NA
2018,"San Marino",34522
2018,"Ukraine",42100165
2018,"Armenia",2969001
2018,"Azerbaijan",9939771
2018,"Georgia",3726549
2019,"EU",513719464
2019,"Belgium",11488980
2019,"Bulgaria",6975761
2019,"Czechia",10671870
2019,"Denmark",5814422
2019,"Germany",83092962
2019,"Estonia",1326855
2019,"Ireland",4934340
2019,"Greece",10721582
2019,"Spain",47134837
2019,"France",67248926
2019,"Croatia",4067206
2019,"Italy",59729081
2019,"Cyprus",881952
2019,"Latvia",1913822
2019,"Lithuania",2794137
2019,"Luxembourg",620001
2019,"Hungary",9771141
2019,"Malta",504062
2019,"Netherlands",17344874
2019,"Austria",8879920
2019,"Poland",37965475
2019,"Portugal",10286263
2019,"Romania",19371648
2019,"Slovenia",2088385
2019,"Slovakia",5454147
2019,"Finland",5521606
2019,"Sweden",10278887
2019,"Iceland",360563
2019,"Liechtenstein",38563
2019,"Norway",5347896
2019,"Switzerland",8575280
2019,"United Kingdom",66836327
2019,"Montenegro",622028
2019,"North Macedonia",2076694
2019,"Albania",2854191
2019,"Serbia",6945235
2019,"Turkey",82579440
2019,"Andorra",76860
2019,"Belarus",9417849
2019,"Bosnia and Herzegovina",NA
2019,"Kosovo",1788891
2019,"Moldova",NA
2019,"Monaco",NA
2019,"Russia",NA
2019,"San Marino",34663
2019,"Ukraine",41858172
2019,"Armenia",2962482
2019,"Azerbaijan",10024283
2019,"Georgia",3720161
2020,"EU",NA
2020,"Belgium",11544241
2020,"Bulgaria",6934015
2020,"Czechia",10697858
2020,"Denmark",5831404
2020,"Germany",83160871
2020,"Estonia",1329479
2020,"Ireland",4985674
2020,"Greece",10700556
2020,"Spain",47363419
2020,"France",67379908
2020,"Croatia",4047260
2020,"Italy",59449527
2020,"Cyprus",892005
2020,"Latvia",1900449
2020,"Lithuania",2794885
2020,"Luxembourg",630419
2020,"Hungary",9750149
2020,"Malta",515332
2020,"Netherlands",17441500
2020,"Austria",8916864
2020,"Poland",37899070
